Time_ID,Drive_Torque,Steer_Angle
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0.25,0
83,0.25,0
84,0.5,0
85,0.75,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0.1
112,0,0.2
113,0,0.3
114,0,0.4
115,0,0.5
116,0.25,0.524
117,0.498,0.524
118,0.7,0.524
119,0.998,0.524
120,1,0.524
121,0.04,0.524
122,0,0.524
123,0,0.524
124,0.25,0.524
125,0.5,0.524
126,0.748,0.524
127,0.99,0.524
128,1,0.524
129,0.2,0.524
130,0,0.524
131,0,0.524
132,0,0.524
133,0.2,0.524
134,0.49,0.524
135,0.7,0.524
136,0.03,0.524
137,0.248,0.524
138,0.45,0.524
139,0.5,0.524
140,0.75,0.524
141,0.03,0.524
142,0,0.524
143,0.24,0.524
144,0.5,0.524
145,0.5,0.524
146,0,0.524
147,0.25,0.524
148,0.5,0.524
149,0.75,0.524
150,0,0.524
151,0,0.524
152,0.25,0.524
153,0.5,0.524
154,0,0.524
155,0,0.524
156,0.25,0.524
157,0.25,0.524
158,0.5,0.524
159,0.75,0.524
160,0,0.524
161,0.25,0.524
162,0.5,0.524
163,0.75,0.524
164,0,0.524
165,0,0.524
166,0.25,0.524
167,0.5,0.524
168,0,0.524
169,0,0.524
170,0.25,0.524
171,0.5,0.524
172,0.75,0.524
173,0.75,0.524
174,0,0.524
175,0,0.524
176,0.2,0
177,0.25,0
178,0.5,0
179,0.75,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,0,0.1
234,0,0.2
235,0,0.3
236,0,0.3
237,0.25,0.4
238,0.5,0.5
239,0,0.524
240,0,0.524
241,0.25,0.524
242,0.5,0.524
243,0,0.524
244,0,0.524
245,0.25,0.524
246,0.5,0.524
247,0,0.524
248,0.2,0.524
249,0.49,0.524
250,0.1,0.524
251,0,0.524
252,0.2,0.524
253,0.49,0.524
254,0.1,0.524
255,0,0.524
256,0.2,0.524
257,0.49,0.524
258,0.5,0.524
259,0,0.524
260,0,0.524
261,0.25,0.524
262,0.25,0.524
263,0.5,0.524
264,0,0.524
265,0,0.524
266,0.25,0.524
267,0.5,0.524
268,0.75,0.524
269,0.75,0.524
270,0,0.524
271,0.25,0.524
272,0.5,0.524
273,0.75,0.524
274,0,0.524
275,0.25,0.524
276,0.5,0.524
277,0.5,0.524
278,0,0.524
279,0,0.524
280,0.25,0.524
281,0.5,0.524
282,0,0.524
283,0.25,0.524
284,0.5,0.524
285,0,0.524
286,0,0.524
287,0.49,0.524
288,0.5,0.524
289,0,0.524
290,0,0.524
291,0.01,0.524
292,0,0.524
293,0,0.524
294,0,0.524
295,0.25,0.524
296,0.5,0.524
297,0,0.524
298,0,0
299,0,0
300,0.25,0
301,0.25,0
302,0,0
303,0,0
304,0.25,0
305,0.5,0
306,0,0
307,0,0
308,0,0
309,0.25,0
310,0,0
311,0,0
312,0,0.1
313,0,0.2
314,0,0.2
315,0.25,0.3
316,0.5,0.4
317,0,0.5
318,0,0.524
319,0,0.524
320,0.25,0.524
321,0.5,0.524
322,0,0.524
323,0,0.524
324,0,0.524
325,0.25,0.524
326,0.1,0.524
327,0,0.524
328,0,0.524
329,0,0.524
330,0.25,0.524
331,0.25,0.524
332,0.5,0.524
333,0.75,0.524
334,0,0.524
335,0,0.524
336,0,0.524
337,0,0.524
338,0,0.524
339,0,0.524
340,0,0
341,0.45,0
342,0.5,0
343,0.95,0
344,1,0
345,1,0
346,1,0
347,1,-0.08
348,1,-0.1
349,1,-0.18
350,1,-0.2
351,1,-0.002
352,1,0
353,1,0
354,1,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,0
370,1,0
371,1,0
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,1,0
378,1,0
379,1,0
380,1,0
381,1,0
382,1,0
383,1,0
384,1,0
385,1,0
386,1,0
387,1,0
388,1,0
389,1,0
390,1,0
391,1,0
392,1,0
393,1,0.1
394,0,0.2
395,0,0.3
396,0,0.4
397,0,0.4
398,0.24,0.523
399,0.25,0.524
400,0.7,0.524
401,0.75,0.524
402,0,0.524
403,0,0.524
404,0.25,0.524
405,0.49,0.524
406,0.5,0.524
407,0.99,0.524
408,1,0.524
409,0,0.524
410,0,0.524
411,0.25,0.524
412,0.5,0.524
413,0.5,0.524
414,0.95,0.524
415,1,0.524
416,0.008,0.524
417,0,0.524
418,0,0.524
419,0.25,0.524
420,0.5,0.524
421,0.5,0.524
422,1,0.524
423,1,0.524
424,1,0.524
425,0,0.524
426,0.25,0.524
427,0.5,0.524
428,0.75,0.524
429,1,0.524
430,1,0.524
431,0,0.524
432,0,0.524
433,0.25,0.524
434,0.5,0.524
435,0.75,0.524
436,0,0.524
437,0,0.524
438,0.25,0.524
439,0.5,0.524
440,0.5,0.524
441,0.75,0.524
442,0,0.524
443,0,0.524
444,0.25,0.524
445,0.5,0.524
446,0,0.524
447,0,0.524
448,0.25,0.524
449,0,0.524
450,0,0.524
451,0,0.524
452,0,0.524
453,0,0.524
454,0,0.524
455,0.25,0.524
456,0.5,0.524
457,0,0.524
458,0,0.524
459,0,0.524
460,0,0.524
461,0,0
462,0,0
463,0.25,0
464,0.5,0
465,0.75,0
466,0.75,0
467,1,0
468,1,0
469,1,0
470,1,0
471,1,0.1
472,1,0.2
473,1,0.2
474,1,0.2
475,1,0
476,1,0
477,1,0
478,1,0
479,1,0
480,1,0
481,1,0
482,1,0
483,1,0
484,1,0
485,1,0
486,1,0
487,1,0
488,1,0
489,1,0
490,1,0
491,1,0
492,1,0
493,1,0
494,1,0
495,1,0
496,1,0
497,1,0
498,1,0
499,1,0
500,1,0
501,1,0
502,1,0
503,1,0
504,1,0
505,1,0
506,1,0
507,1,0
508,1,0
509,1,0
510,1,0
511,1,0
512,1,0
513,1,0
514,1,0
515,1,0
516,1,0
517,1,0.08
518,0.04,0.196
519,0,0.28
520,0.24,0.396
521,0.49,0.496
522,0.02,0.523
523,0.24,0.524
524,0.25,0.524
525,0.45,0.524
526,0.74,0.524
527,0.15,0.524
528,0.24,0.524
529,0.25,0.524
530,0.7,0.524
531,0.75,0.524
532,0.006,0.524
533,0,0.524
534,0,0.524
535,0.25,0.524
536,0,0.524
537,0,0.524
538,0.25,0.524
539,0,0.524
540,0,0.524
541,0,0.524
542,0,0.524
543,0,0.524
544,0,0.105
545,0,0
546,0.25,0
547,0,0
548,0.45,0
549,0.5,0
550,0.1,0
551,0,0
552,0.45,0
553,0.02,0
554,0.2,0
555,0.25,0
556,0.1,0
557,0,0.08
558,0,0.1
559,0,0.18
560,0.24,0.296
561,0.05,0.38
562,0,0.496
563,0.2,0.519
564,0.002,0.524
565,0,0.524
566,0,0.524
567,0.4,0.524
568,0.5,0.524
569,0.7,0.524
570,0.03,0.524
571,0,0.524
572,0.49,0.524
573,0.7,0.524
574,0.03,0.524
575,0,0.524
576,0.2,0.524
577,0.25,0.524
578,0.5,0.524
579,0.03,0.524
580,0,0.524
581,0.25,0.524
582,0.25,0.524
583,0.75,0.524
584,0.75,0.524
585,0,0.524
586,0.25,0.524
587,0.5,0.524
588,0,0.524
589,0.2,0.524
590,0.25,0.524
591,0.49,0.524
592,0.004,0.524
593,0,0.524
594,0.45,0.524
595,0.7,0.524
596,0.006,0.524
597,0,0.524
598,0.24,0.524
599,0.45,0.524
600,0.5,0.524
601,0.1,0.524
602,0,0.524
603,0,0.524
604,0.24,0.524
605,0.05,0.524
606,0,0.524
607,0,0.524
608,0,0.524
609,0,0.105
610,0,0
611,0,0
612,0,0
613,0,0
614,0.25,0
615,0.5,0
616,0,0
617,0,0
618,0.25,0
619,0,0
620,0,0
621,0,0
622,0,0.18
623,0,0.28
624,0,0.3
625,0,0.3
626,0.24,0.3
627,0.25,0.3
628,0.5,0.3
629,0,0.3
630,0,0.3
631,0,0.3
632,0.2,0.3
633,0.25,0.3
634,0.5,0.3
635,0.75,0.3
636,1,0.3
637,0,0.3
638,0,0.3
639,0,0.3
640,0,0.3
641,0,0.3
642,0.25,0.3
643,0.5,0.3
644,0,0.3
645,0,0
646,0,0
647,0.25,0
648,0.25,0
649,0.5,0
650,0.75,0
651,1,0
652,0,0
